# time,airtemp,celltemp
1631079000000.0,18.14,18.09
1631082600000.0,18.51,20.0
1631086200000.0,18.47,20.62
1631089800000.0,18.95,22.78
1631093400000.0,20.28,26.12
1631097000000.0,20.39,25.12
1631100600000.0,21.97,28.76
1631104200000.0,22.69,30.97
1631107800000.0,21.47,26.27
1631111400000.0,20.21,24.16
1631115000000.0,19.45,23.02
1631118600000.0,17.82,19.57
1631122200000.0,17.48,19.0
1631125800000.0,17.33,18.61
1631129400000.0,17.29,18.62
1631133000000.0,17.3,18.48
1631136600000.0,17.34,18.63
1631140200000.0,17.34,19.07
1631143800000.0,17.3,19.12
1631147400000.0,17.27,18.66
1631151000000.0,17.06,18.52
1631154600000.0,17.1,18.48
1631158200000.0,16.95,18.04
1631161800000.0,16.52,17.72
1631165400000.0,16.69,18.38
1631169000000.0,16.69,18.6
1631172600000.0,18.0,21.93
1631176200000.0,19.2,25.19
1631179800000.0,19.83,24.69
1631183400000.0,19.71,24.45
1631187000000.0,19.25,24.06
1631190600000.0,19.18,25.34
1631194200000.0,22.88,33.49
1631197800000.0,23.8,36.55
1631201400000.0,22.65,31.4
1631205000000.0,21.78,27.68
1631208600000.0,19.7,22.85
1631212200000.0,17.65,18.97
1631215800000.0,17.12,18.45
1631219400000.0,16.38,17.34
1631223000000.0,15.74,16.38
1631226600000.0,15.74,16.3
1631230200000.0,15.78,16.28
1631233800000.0,15.76,16.32
1631237400000.0,16.32,17.18
1631241000000.0,16.13,16.95
1631244600000.0,15.95,16.8
1631248200000.0,16.12,17.09
1631251800000.0,16.42,17.25
1631255400000.0,16.62,17.36
1631259000000.0,17.01,18.4
1631262600000.0,18.88,22.9
1631266200000.0,20.16,27.06
1631269800000.0,20.81,30.88
1631273400000.0,22.05,37.02
1631277000000.0,22.52,37.02
1631280600000.0,21.68,31.02
1631284200000.0,21.12,29.56
1631287800000.0,21.53,31.79
1631291400000.0,20.7,30.97
1631295000000.0,18.98,22.26
1631298600000.0,17.57,19.0
1631302200000.0,15.33,15.06
1631305800000.0,13.98,13.99
1631309400000.0,13.35,13.1
1631313000000.0,12.0,11.12
1631316600000.0,10.88,10.08
1631320200000.0,10.21,9.58
1631323800000.0,9.6,8.86
1631327400000.0,8.97,8.68
1631331000000.0,8.98,8.91
1631334600000.0,9.48,10.02
1631338200000.0,9.96,10.87
1631341800000.0,10.41,11.48
1631345400000.0,12.11,14.77
1631349000000.0,14.83,20.43
1631352600000.0,18.18,28.56
1631356200000.0,19.71,30.84
1631359800000.0,20.03,29.51
1631363400000.0,18.6,26.35
1631367000000.0,19.79,29.82
1631370600000.0,18.89,25.78
1631374200000.0,18.43,23.53
1631377800000.0,18.14,23.28
1631381400000.0,16.52,19.01
1631385000000.0,15.3,16.68
1631388600000.0,14.03,14.62
1631392200000.0,13.26,13.91
1631395800000.0,12.07,11.97
1631399400000.0,11.72,11.36
1631403000000.0,11.52,11.84
1631406600000.0,11.33,11.94
1631410200000.0,11.91,13.18
1631413800000.0,12.15,13.48
1631417400000.0,12.27,13.77
1631421000000.0,12.09,13.51
1631424600000.0,11.71,12.97
1631428200000.0,11.59,12.89
1631431800000.0,11.8,13.34
1631435400000.0,12.13,13.98
1631439000000.0,12.52,14.91
1631442600000.0,12.47,14.93
1631446200000.0,12.64,15.08
1631449800000.0,13.22,17.1
1631453400000.0,13.7,18.08
1631457000000.0,14.3,19.39
1631460600000.0,15.54,19.94
1631464200000.0,15.36,18.68
1631467800000.0,15.37,18.44
1631471400000.0,14.63,16.55
1631475000000.0,14.13,15.17
1631478600000.0,13.99,15.12
1631482200000.0,13.67,14.78
1631485800000.0,14.04,15.09
1631489400000.0,14.23,15.43
1631493000000.0,13.93,14.89
1631496600000.0,13.8,14.64
1631500200000.0,13.94,14.82
1631503800000.0,14.27,15.23
1631507400000.0,14.43,15.35
1631511000000.0,14.45,15.33
1631514600000.0,14.68,15.58
1631518200000.0,14.86,15.92
1631521800000.0,15.17,17.48
1631525400000.0,16.18,21.65
1631529000000.0,16.88,22.32
1631532600000.0,18.51,24.8
1631536200000.0,19.53,25.67
1631539800000.0,18.78,22.74
1631543400000.0,17.28,20.34
1631547000000.0,18.4,21.32
1631550600000.0,18.8,22.83
1631554200000.0,18.44,21.53
1631557800000.0,17.3,18.72
1631561400000.0,16.58,17.7
1631565000000.0,15.61,16.53
1631568600000.0,15.34,16.46
1631572200000.0,15.46,16.62
1631575800000.0,15.62,16.61
1631579400000.0,15.36,16.5
1631583000000.0,15.23,16.41
1631586600000.0,15.22,16.57
1631590200000.0,15.36,16.57
1631593800000.0,15.4,16.63
1631597400000.0,15.4,16.69
1631601000000.0,15.39,16.96
1631604600000.0,15.9,18.26
1631608200000.0,16.67,19.75
1631611800000.0,16.7,19.48
1631615400000.0,16.35,18.65
1631619000000.0,16.52,19.42
1631622600000.0,17.57,21.95
1631626200000.0,20.04,26.52
1631629800000.0,19.39,23.53
1631633400000.0,19.15,24.04
1631637000000.0,18.88,22.68
1631640600000.0,18.46,21.53
1631644200000.0,17.52,19.38
1631647800000.0,16.63,17.72
1631651400000.0,16.53,18.32
1631655000000.0,16.3,18.26
1631658600000.0,15.55,16.69
1631662200000.0,14.98,16.22
1631665800000.0,14.48,15.66
1631669400000.0,14.3,15.58
1631673000000.0,14.0,15.47
1631676600000.0,13.5,14.61
1631680200000.0,13.52,14.88
1631683800000.0,13.79,15.45
1631687400000.0,14.05,15.95
1631691000000.0,14.7,17.85
1631694600000.0,15.22,19.4
1631698200000.0,16.88,26.66
1631701800000.0,20.39,31.16
1631705400000.0,21.25,33.12
