# time, west PV power
1629023400000.00,743.70
1629027000000.00,1001.70
1629030600000.00,1140.75
1629034200000.00,1276.36
1629037800000.00,1245.72
1629041400000.00,991.65
1629045000000.00,801.42
1629048600000.00,332.80
1629052200000.00,146.98
1629055800000.00,50.97
1629059400000.00,0.71
1629063000000.00,0.00
1629066600000.00,0.00
1629070200000.00,0.00
1629073800000.00,0.00
1629077400000.00,0.00
1629081000000.00,0.00
1629084600000.00,0.00
1629088200000.00,0.00
1629091800000.00,4.33
1629095400000.00,69.50
1629099000000.00,159.78
1629102600000.00,293.45
1629106200000.00,645.32
1629109800000.00,477.67
1629113400000.00,813.93
1629117000000.00,746.95
1629120600000.00,860.56
1629124200000.00,704.99
1629127800000.00,667.50
1629131400000.00,424.65
1629135000000.00,308.28
1629138600000.00,122.71
1629142200000.00,15.38
1629145800000.00,0.00
1629149400000.00,0.00
1629153000000.00,0.00
1629156600000.00,0.00
1629160200000.00,0.00
1629163800000.00,0.00
1629167400000.00,0.00
1629171000000.00,0.00
1629174600000.00,0.00
1629178200000.00,1.32
1629181800000.00,99.41
1629185400000.00,395.95
1629189000000.00,603.86
1629192600000.00,1199.71
1629196200000.00,976.89
1629199800000.00,972.33
1629203400000.00,1063.08
1629207000000.00,898.01
1629210600000.00,899.75
1629214200000.00,843.98
1629217800000.00,596.24
1629221400000.00,300.58
1629225000000.00,154.70
1629228600000.00,19.69
1629232200000.00,0.00
1629235800000.00,0.00
1629239400000.00,0.00
1629243000000.00,0.00
1629246600000.00,0.00
1629250200000.00,0.00
1629253800000.00,0.00
1629257400000.00,0.00
1629261000000.00,0.00
1629264600000.00,12.84
1629268200000.00,166.22
1629271800000.00,378.79
1629275400000.00,694.51
1629279000000.00,600.54
1629282600000.00,656.89
1629286200000.00,892.98
